Time (sec),Vtach (V)
0.000000,0.103611
0.000500,0.106587
0.001000,0.099086
0.001500,0.103817
0.002000,0.101914
0.002500,0.109826
0.003000,0.109568
0.003500,0.095511
0.004000,0.097631
0.004500,0.091382
0.005000,0.083915
0.005500,0.092547
0.006000,0.107204
0.006500,0.089921
0.007000,0.089010
0.007500,0.109271
0.008000,0.086830
0.008500,0.100322
0.009000,0.072605
0.009500,0.095572
0.010000,0.070503
0.010500,0.100632
0.011000,0.094458
0.011500,0.109954
0.012000,0.092540
0.012500,0.086803
0.013000,0.100741
0.013500,0.082068
0.014000,0.083542
0.014500,0.080272
0.015000,0.087659
0.015500,0.083384
0.016000,0.082890
0.016500,0.079946
0.017000,0.092145
0.017500,0.098250
0.018000,0.093739
0.018500,0.094274
0.019000,0.085365
0.019500,0.088958
0.020000,0.080093
0.020500,0.100777
0.021000,0.088352
0.021500,0.085157
0.022000,0.091001
0.022500,0.077351
0.023000,0.075851
0.023500,0.088978
0.024000,0.094247
0.024500,0.076433
0.025000,0.074356
0.025500,0.090651
0.026000,0.075770
0.026500,0.088718
0.027000,0.076767
0.027500,0.072713
0.028000,0.082101
0.028500,0.065620
0.029000,0.062091
0.029500,0.075065
0.030000,0.075180
0.030500,0.094715
0.031000,0.072895
0.031500,0.082916
0.032000,0.082586
0.032500,0.069576
0.033000,0.087460
0.033500,0.068040
0.034000,0.073543
0.034500,0.078338
0.035000,0.072774
0.035500,0.080354
0.036000,0.070021
0.036500,0.052960
0.037000,0.068175
0.037500,0.061920
0.038000,0.075811
0.038500,0.067779
0.039000,0.071142
0.039500,0.051380
0.040000,0.070372
0.040500,0.061748
0.041000,0.058967
0.041500,0.053546
0.042000,0.065264
0.042500,0.074426
0.043000,0.062599
0.043500,0.060325
0.044000,0.074114
0.044500,0.058208
0.045000,0.059703
0.045500,0.062288
0.046000,0.068465
0.046500,0.081240
0.047000,0.048060
0.047500,0.054849
0.048000,0.059490
0.048500,0.078349
0.049000,0.052211
0.049500,0.071778
0.050000,0.057686
0.050500,0.071011
0.051000,0.068065
0.051500,0.067741
0.052000,0.049846
0.052500,0.048812
0.053000,0.047989
0.053500,0.076223
0.054000,0.063197
0.054500,0.038475
